features,class
"[-2.9066858e+02  2.3570966e+02 -6.2533951e+01  6.0092076e-04
  2.5618368e+01 -4.1169079e+01 -2.2639200e+01 -1.6877296e+01
 -1.3437264e+01  2.1206331e+01  1.7411716e+00 -1.3951160e+01
 -2.8236744e+00 -1.7949190e+01 -3.8469057e+00  6.5673008e+00
 -2.7377785e+01 -1.2012267e+01  1.0875529e+01 -2.0498125e+01
 -1.5473385e+01  4.7729793e+00 -1.6303707e+01 -1.3629447e+01
 -3.6391544e-01 -1.3195997e+01 -1.0172791e+01 -4.6655788e+00
 -1.0001885e+01 -7.2353256e-01  5.7017761e-01 -5.0019631e+00
  1.2650285e+00 -4.4093904e+00 -9.0746298e+00  1.2536533e+00
 -9.4202083e-01 -4.3827214e+00 -1.3250691e-01 -6.4058170e+00]",Number_5
"[-298.28482    232.86028    -66.877106    14.414583    22.272255
  -51.428024   -12.174523   -13.498277   -20.928745    28.97889
    7.7060785  -20.394289    -1.3511382  -11.4786625   -6.438521
    2.460689   -26.204746   -12.610037     4.7029185  -22.979866
   -8.981533     8.232808   -20.16375    -14.012768     1.915641
  -15.437679   -11.829366    -2.241934    -9.263148    -2.2060232
    2.5986853   -1.6708574   -0.742256    -6.5451083   -5.727846
    1.6699244   -5.411772    -5.847731    -1.458302   -10.146549 ]",Number_5
"[-2.8321768e+02  2.2916162e+02 -5.6660248e+01  8.7577133e+00
  6.8477197e+00 -5.0322929e+01 -2.5229049e+00 -2.0080191e+01
 -3.9710911e+01  1.2062429e+01  3.8275892e-01 -1.6891178e+01
  7.2005451e-01 -1.8463711e+01 -1.2809088e+01  1.3351953e-01
 -2.5388126e+01 -7.0995903e+00  7.3862362e+00 -2.7542324e+01
 -1.5297677e+01  3.6761997e+00 -2.0797970e+01 -1.3589716e+01
 -1.0227758e-01 -1.0478798e+01 -7.2623169e-01 -2.0712866e-01
 -1.2906202e+01 -4.6625991e+00 -6.2688861e+00 -1.1125228e+01
 -1.4546223e+00 -7.2652397e+00 -7.5307302e+00  6.9895744e+00
  1.6451060e+00 -3.5619805e+00 -2.8877926e-01 -7.8712978e+00]",Number_5
"[-2.4941899e+02  2.2256416e+02 -6.8265038e+01  2.4470673e+00
  1.2479070e+01 -4.8785851e+01 -8.7701225e+00 -2.0387562e+01
 -3.5909378e+01  1.4249155e+01  5.2981105e+00 -1.4172624e+01
 -1.7160113e+00 -1.7697117e+01 -9.5751944e+00  1.2382753e+00
 -2.6254095e+01 -1.0472785e+01  5.7150974e+00 -2.4141291e+01
 -1.3650522e+01  2.0177369e+00 -2.0078028e+01 -1.2073155e+01
 -5.6266350e-01 -1.1450177e+01 -1.5023648e+00 -6.1474863e-02
 -1.1359448e+01 -2.8326867e+00 -5.1303296e+00 -1.1381208e+01
 -1.5059737e+00 -5.0297718e+00 -6.0578976e+00  5.0406737e+00
 -1.9615089e+00 -7.2017274e+00 -2.0508583e+00 -7.3473415e+00]",Number_5
"[-2.70724182e+02  2.29890030e+02 -6.60193558e+01  1.13588533e+01
  1.22142000e+01 -5.07692909e+01  1.52305253e-02 -1.36104164e+01
 -3.65689240e+01  1.18783455e+01 -1.25357866e+00 -1.85155144e+01
  8.53699625e-01 -1.51933098e+01 -7.94091654e+00  2.40697455e+00
 -2.68828487e+01 -7.80978060e+00  8.72259808e+00 -2.68040886e+01
 -1.37775240e+01  8.36653709e+00 -1.38098698e+01 -7.15827751e+00
  2.08117127e+00 -1.32198362e+01 -4.47568941e+00 -2.59746552e+00
 -1.40092154e+01 -3.41810250e+00 -4.03944349e+00 -1.21204567e+01
 -4.53492355e+00 -8.29653549e+00 -9.01070309e+00  2.05056548e+00
 -2.36556172e+00 -2.83277655e+00  3.03376317e+00 -6.14358330e+00]",Number_5
"[-2.7640118e+02  2.4351099e+02 -7.3508682e+01  1.2117287e+01
  1.4606671e+01 -5.6086151e+01  4.8056442e-01 -1.0454668e+01
 -3.9281898e+01  9.9612703e+00 -3.6321044e-01 -1.9538664e+01
 -2.2215979e+00 -1.8632063e+01 -8.0790195e+00  4.3561916e+00
 -2.8997625e+01 -1.1683521e+01  1.0210707e+01 -2.3123518e+01
 -1.4496950e+01  5.1355419e+00 -1.6762484e+01 -1.1733344e+01
 -1.3378475e+00 -1.1035076e+01 -5.8166206e-01 -2.2457862e-01
 -1.2338160e+01 -5.7212996e+00 -9.2197485e+00 -1.3037494e+01
 -2.1514401e+00 -6.5676980e+00 -8.3248138e+00  2.8370261e-01
 -4.0342779e+00 -1.1848456e+00  4.0142131e+00 -7.1259818e+00]",Number_5
"[-268.72058     222.95425     -66.08807       9.89161      11.361365
  -47.103565      4.724766    -13.514077    -41.85419       9.21243
    4.1480064   -13.729792      0.5755912   -15.998689    -10.502348
   -1.4870511   -26.761452     -7.327376      7.6299953   -25.321112
  -13.611054      4.2500343   -17.487707    -10.637529     -0.66081595
  -10.273447      0.44224036   -1.0882843   -14.000357     -4.4566007
   -5.061861    -10.506598     -4.1695943    -9.786725     -7.204186
    4.128237     -3.4037817    -2.2097855     5.1213045    -6.056148  ]",Number_5
"[-265.4622      218.56532     -64.801155     11.492145      8.660327
  -54.54629       1.5189213    -9.519302    -38.35748       9.715145
    3.0004494   -16.993668      1.028093    -11.42949     -10.054893
   -2.4171226   -23.560911     -5.600444      5.925897    -26.514904
  -14.686011      4.206138    -15.228845     -8.274272      0.43717715
  -10.912568     -0.9930848    -1.1977708   -14.203304     -6.1295366
   -7.25277     -13.335486     -6.082106     -9.221559     -6.0341225
    4.1437306    -5.184536     -4.404435      5.6674347    -4.3400187 ]",Number_5
"[-250.2306     216.94061    -64.58853      2.9299276    3.7341912
  -48.015026     8.339292    -8.494037   -40.14418      8.194908
    8.403979    -6.9159207    1.3833903  -19.898685   -14.148403
   -4.13736    -28.44764     -7.620694     7.7882137  -24.851683
  -13.086292     3.9313858  -17.970068   -10.329291    -2.2081726
  -14.5780735   -1.9294734   -0.3775795  -13.546244    -4.7886634
   -5.662119   -10.048671    -1.0607756   -8.539873   -10.028441
    2.2778575   -4.559973    -4.9497576    4.1679997   -5.306528 ]",Number_5
"[-276.25528     229.85202     -63.492744      2.4983726     7.2318244
  -48.387447      0.6110462   -13.43163     -34.96008      13.508665
    2.1213787   -16.064837      1.5428728   -15.8967      -11.290956
    1.1332667   -24.978138    -10.325007      5.4249716   -24.006952
  -12.7102        4.469662    -14.830869     -5.7535095     0.61138356
  -14.882658     -3.3141391    -1.2615787   -13.923959     -4.2750206
   -6.6458406   -14.044844     -2.7342596    -5.2468452    -6.9862323
    2.0484717    -5.792389     -4.951555      4.876815     -6.1281137 ]",Number_5
"[-310.18463     220.49231     -43.796406     -3.3043182     3.0551167
  -45.63329     -13.69729      -9.85871     -20.652876      4.096403
   -3.821319     -9.764101     -4.281645    -23.319033    -11.222707
    5.310564    -14.732233     -6.6941643     4.1815286   -15.053229
   -8.052341     -1.2928026   -17.260918    -10.802033     -6.8833547
  -14.580823     -4.7554836    -5.714476    -12.457319     -3.6689372
   -6.967931     -8.986085      1.0566348    -4.744141     -6.8920026
   -0.41393253   -8.983784     -9.268354     -0.43236306   -3.33129   ]",Number_5
"[-3.0983096e+02  2.2523029e+02 -5.4896290e+01  2.1341641e-03
  4.9660068e+00 -5.5302513e+01 -1.1185415e+01 -9.3687696e+00
 -3.3556026e+01  2.6081829e+00  1.3862623e-02 -1.5935123e+01
 -2.5744956e+00 -1.7002285e+01 -1.5396379e+01  4.4145188e+00
 -1.3589732e+01 -1.4462945e+01  2.1255436e+00 -1.2566938e+01
 -1.2428626e+01  1.3040447e-01 -9.6476479e+00 -9.3989468e+00
 -5.4379587e+00 -1.2199328e+01 -6.0631323e+00 -4.0972328e+00
 -9.4707251e+00 -2.3294885e+00 -3.1972051e+00 -8.8600273e+00
 -3.6307101e+00 -5.1510105e+00 -5.2402053e+00  2.0701697e+00
 -2.3790426e+00 -5.6090426e+00 -2.7257488e+00 -8.0733080e+00]",Number_5
"[-2.9403403e+02  2.2639221e+02 -7.4374802e+01  3.6181612e+00
  9.8338652e+00 -5.9566082e+01 -8.4504671e+00 -7.6456962e+00
 -3.6536957e+01  2.8328152e+00 -2.0154824e+00 -1.4682315e+01
  6.4189529e+00 -1.6940926e+01 -2.1015564e+01  7.6509957e+00
 -1.1886814e+01 -1.7628185e+01  4.8168335e+00 -7.9119883e+00
 -1.1240252e+01  1.3780069e+00 -8.7874422e+00 -8.8131552e+00
 -4.0860972e+00 -1.2657238e+01 -8.2584515e+00 -6.6477337e+00
 -1.1913378e+01 -3.1893561e+00 -3.8356683e+00 -1.0198396e+01
 -3.0282547e+00 -3.5460966e+00 -5.3283048e+00  1.8147774e-01
 -5.3436809e+00 -6.2544951e+00 -1.1105180e-01 -7.5317922e+00]",Number_5
"[-3.0078757e+02  2.1628000e+02 -6.5873749e+01 -4.1401529e+00
  7.1851597e+00 -5.1626484e+01 -6.6643047e+00 -4.1094103e+00
 -2.7598858e+01  6.3603554e+00  8.3254951e-01 -1.2173719e+01
  3.9564431e+00 -1.5837336e+01 -1.8586273e+01  1.1456344e+00
 -1.5387374e+01 -9.8146133e+00  9.2071323e+00 -1.2024654e+01
 -1.1450380e+01  6.6282911e+00 -6.9649172e+00 -1.0227962e+01
 -4.2991052e+00 -1.2675159e+01 -7.9668541e+00 -4.2190933e+00
 -9.8301277e+00 -2.6765819e+00 -3.2839589e+00 -9.8615026e+00
 -3.8734527e+00 -6.5640707e+00 -9.1695585e+00 -7.4037969e-02
 -2.8847804e+00 -5.0855250e+00  1.6422197e+00 -4.4750657e+00]",Number_5
"[-3.5256436e+02  1.8788136e+02 -4.3260319e+01  1.2693218e+00
  1.0451083e+01 -3.9823715e+01 -1.0045983e+01 -1.0103909e+01
 -2.7804310e+01 -1.7401522e-01 -2.6051171e+00 -1.2349604e+01
 -1.9529594e+00 -1.7279119e+01 -1.6829414e+01 -3.6371431e-01
 -1.2966072e+01 -8.4326944e+00  5.5300570e+00 -9.6992655e+00
 -7.3091173e+00  5.6097231e+00 -5.4815764e+00 -6.7674651e+00
 -2.1202121e+00 -9.0738039e+00 -6.0057039e+00 -3.8709261e+00
 -7.8714781e+00 -2.7946308e+00 -4.1809258e+00 -8.6351967e+00
 -3.7409399e+00 -5.4727397e+00 -7.3224993e+00 -2.5505402e+00
 -4.7539144e+00 -3.7558782e+00  4.5969442e-01 -5.5052147e+00]",Number_5
"[-3.81274261e+02  1.69860123e+02 -6.56010208e+01  1.37352457e+01
  4.15516281e+01 -3.18107014e+01 -1.20665777e+00  1.57952509e+01
 -1.90365658e+01  6.51258886e-01  1.10056934e+01 -8.52031517e+00
 -7.56755620e-02  4.02635038e-01 -6.75944948e+00  2.97845960e+00
 -3.89728689e+00 -9.72398090e+00  3.72850800e+00 -1.17638074e-01
 -8.41193390e+00 -1.27712500e+00 -5.07811189e-01 -2.40491128e+00
 -1.00065207e+00 -4.18003941e+00 -2.41934109e+00  5.37560701e-01
 -3.43440270e+00 -3.68184018e+00 -2.06717348e+00 -2.86667275e+00
 -1.66819239e+00 -2.93308640e+00 -4.57701397e+00 -2.90896940e+00
 -3.17390776e+00 -1.43441093e+00  8.18044543e-01 -2.70552802e+00]",Number_5
"[-4.8320581e+02  1.0568415e+02 -3.5513905e+01  5.4458332e+00
  2.2310658e+01 -1.6530699e+01 -1.3116797e+00  5.0906019e+00
 -1.1747525e+01  1.6452147e+00  6.0167570e+00 -4.5551486e+00
 -8.3449072e-01 -2.0200233e+00 -1.6261673e+00  5.1075478e+00
 -3.3686051e+00 -6.1418829e+00  2.6596262e+00 -2.8247581e+00
 -7.1754799e+00 -1.4373136e+00 -2.7164185e+00 -3.2745752e+00
 -1.0903889e+00 -3.7322674e+00 -1.9642993e+00  4.0258518e-01
 -2.2316468e+00 -3.8637367e-01  9.0416372e-01 -2.2169421e+00
 -1.2949802e+00 -3.5540986e-01 -1.6085211e+00 -2.8029767e-01
  5.7949068e-04 -6.9526017e-01 -1.0618609e+00 -3.1678939e+00]",Number_5
"[-3.4347995e+02  1.6744238e+02 -4.9799191e+01 -3.4363174e+00
  2.6762335e+01 -2.7621321e+01 -1.1331926e+01  5.3276715e+00
 -1.5080043e+01 -2.0803344e+00  8.8860188e+00 -3.7776971e-01
 -4.3102726e-01 -7.1017189e+00 -8.6865396e+00  3.2878211e+00
 -2.1445358e+00 -9.0884790e+00 -5.9014076e-01 -7.2706109e-01
 -6.2788692e+00 -5.2924790e+00 -3.9280007e+00 -2.0056264e+00
 -2.7839320e+00 -4.6300149e+00 -7.9504639e-01 -1.0355823e+00
 -5.0711274e+00 -3.6716559e+00 -2.6364210e+00 -1.1327548e+00
  1.3967824e+00 -2.3301418e+00 -3.4096022e+00  6.3001469e-02
 -1.6370245e+00 -1.1572112e+00  1.5048599e+00 -9.3980074e-01]",Number_5
"[-4.0805975e+02  1.4530031e+02 -5.4940552e+01  6.8201590e+00
  3.5809750e+01 -2.0615503e+01  1.4881928e-01  1.3982921e+01
 -1.0285610e+01  4.9276514e+00  1.2923222e+01 -1.3974662e-01
  4.0230508e+00  8.7940939e-02 -3.7422149e+00  4.7580380e+00
 -3.9331028e+00 -7.7861748e+00  4.3443389e+00 -1.0027645e+00
 -7.3401799e+00  3.6871303e-02 -5.8557081e-01 -1.8416606e+00
  7.6706254e-01 -3.0282960e+00 -2.3605425e+00  7.7975500e-01
 -2.3876727e+00 -1.4875867e+00  6.4281499e-01 -1.7159356e+00
 -5.5929947e-01  4.9538010e-01 -1.6798112e+00 -8.1993377e-01
  6.9778955e-01  3.7413317e-01 -9.7252446e-01 -3.0068519e+00]",Number_5
"[-3.4856836e+02  1.7426044e+02 -5.5709534e+01  5.9399228e+00
  3.2028133e+01 -3.4337257e+01 -9.0866766e+00  9.9728212e+00
 -1.6813873e+01  1.3285125e+00  1.2621109e+01 -4.0184150e+00
 -1.2725824e+00 -3.6977556e+00 -8.2780218e+00  1.1370169e+00
 -4.6771436e+00 -9.2087221e+00  1.2073978e+00 -2.9146023e+00
 -9.0138283e+00 -2.9380553e+00 -2.5725946e+00 -3.8862479e+00
 -3.5060189e+00 -5.4638271e+00 -1.7392468e+00 -2.6316598e-01
 -4.9550200e+00 -3.5179493e+00 -1.9204855e+00 -3.3388050e+00
 -7.5606394e-01 -1.1464477e+00 -3.9368410e+00 -3.1574752e+00
 -3.2609901e+00 -1.3847342e+00  6.6772270e-01 -4.0469437e+00]",Number_5
"[-348.44855    189.27762    -65.780876    11.119976    39.44907
  -38.821102    -9.828856    12.639434   -16.416384     1.5339792
    9.811969    -5.3107595    2.0932925   -3.511158    -8.201956
    4.7338643   -4.8419123   -9.494841     5.010722    -2.9594712
  -11.276844    -1.9717973   -3.087718    -5.2508893   -1.8986039
   -4.803791    -3.0302      -1.1754537   -6.633214    -4.8726077
   -1.3718637   -3.531752    -2.0770667   -1.1667429   -3.1456587
   -2.4175017   -2.2728572   -2.5049727   -2.7753959   -4.174824 ]",Number_5
"[-4.0406406e+02  1.7290488e+02 -5.0091911e+01  1.0860860e+01
  3.9212223e+01 -2.5724655e+01 -4.9513888e+00  1.1190577e+01
 -1.6293169e+01  1.3267829e+00  1.3263503e+01 -3.5199130e+00
  2.3072922e-01 -4.2393360e-02 -5.9575233e+00  3.2252591e+00
 -9.6126938e-01 -9.4842749e+00 -1.0465877e+00  7.0319176e-01
 -4.9600520e+00 -4.1567388e+00 -2.2946968e+00 -3.8852748e-01
 -2.4064121e+00 -6.2286277e+00 -1.9138944e+00 -4.7123107e-01
 -4.3969798e+00 -2.2324255e+00 -2.2006199e+00 -4.6648550e+00
 -1.4211655e+00 -1.6804640e+00 -3.6419284e+00 -9.9899781e-01
 -2.2134047e+00 -2.9224205e+00  6.7402172e-01 -1.3732283e+00]",Number_5
"[-3.4186801e+02  1.7402376e+02 -5.8383514e+01  4.4738011e+00
  3.2660702e+01 -3.0959192e+01 -8.2397108e+00  6.6553226e+00
 -1.6551371e+01  1.5115124e+00  7.5952048e+00 -4.4430194e+00
  1.3584379e+00 -7.1134868e+00 -9.2719965e+00  4.4525037e+00
 -7.3865495e+00 -1.2441073e+01  3.8846910e+00 -1.4102174e+00
 -9.8768110e+00 -3.8221233e+00 -4.6294942e+00 -3.4891384e+00
 -5.9128016e-01 -5.8860068e+00 -3.6120508e+00  6.2564991e-02
 -5.1693816e+00 -4.7061028e+00 -1.8573360e+00 -2.7800751e+00
 -1.9332516e-01  5.2651280e-01 -1.7773176e+00 -1.9112216e+00
 -3.0003788e+00 -2.6843064e+00 -2.0071986e+00 -4.1481709e+00]",Number_5
"[-3.6519470e+02  1.7381076e+02 -7.2997467e+01  1.6309204e+01
  4.5036049e+01 -3.6585335e+01 -7.0286913e+00  1.2328234e+01
 -1.7810211e+01  4.6044254e+00  1.1834395e+01 -6.7573490e+00
  3.5117722e+00  2.0913156e-02 -7.3609347e+00  4.4694681e+00
 -4.2351170e+00 -9.5199423e+00  5.2862272e+00 -2.0869452e-01
 -9.0257750e+00 -2.6927743e+00 -2.4974682e+00 -2.1189826e+00
 -8.8425934e-01 -5.6748710e+00 -3.0064645e+00 -8.1811225e-01
 -5.3386736e+00 -2.8807373e+00 -1.2233992e+00 -4.1976223e+00
 -2.2345891e+00 -1.6291009e+00 -3.0109990e+00 -2.4748435e+00
 -3.4205630e+00 -1.5933963e+00 -8.2268906e-01 -4.8947988e+00]",Number_5
"[-3.5290079e+02  1.7240359e+02 -6.4372169e+01  5.6821567e-01
  3.2912830e+01 -3.2365971e+01 -8.7650614e+00  9.4080191e+00
 -1.7981194e+01 -1.0329564e+00  1.0395490e+01 -3.5512786e+00
  9.6336119e-02 -4.3238292e+00 -7.7257171e+00  4.0192680e+00
 -4.7612581e+00 -1.1313408e+01  2.6744294e+00 -4.5971927e-01
 -9.4362049e+00 -3.7624574e+00 -2.5670753e+00 -3.9051855e+00
 -3.1508949e+00 -5.7325807e+00 -2.8593175e+00 -3.1752148e-01
 -4.5128274e+00 -3.6847448e+00 -1.5855154e+00 -3.2109110e+00
 -2.3357193e+00 -2.5789363e+00 -3.3889163e+00 -2.0982032e+00
 -3.0720942e+00 -1.5352244e+00  2.4568893e-01 -4.3162980e+00]",Number_5
"[-3.2720081e+02  1.7210535e+02 -5.4787098e+01  5.5018616e+00
  3.1137680e+01 -3.3293846e+01 -5.1918674e+00  1.4901122e+01
 -1.5335545e+01 -2.9043588e-01  1.2581784e+01 -1.2602733e+00
  1.0405474e+00 -5.4238706e+00 -1.1262536e+01  2.0973275e+00
 -2.6885948e+00 -8.2258749e+00  4.2579365e+00 -1.9796761e+00
 -1.1764491e+01 -1.7283969e+00  7.2985893e-01 -3.8788681e+00
 -2.7697990e+00 -4.5243583e+00 -3.3903618e+00 -1.6780223e-01
 -3.8446887e+00 -4.7529273e+00 -3.1344821e+00 -5.0863171e+00
 -3.0030682e+00  2.6688114e-01 -1.2822245e+00 -2.8027341e+00
 -3.1509445e+00 -2.0260956e+00 -9.7982436e-01 -3.8029099e+00]",Number_5
"[-357.78616     179.31895     -61.324066     10.4435005    39.463615
  -33.146774     -8.535006      9.711093    -18.263237      0.9342462
   10.558754     -4.915097      3.0064356     1.0733246    -4.701675
    3.7070673    -5.5328984    -8.628729      5.4115024    -2.376971
  -10.667654     -1.1841891    -1.3456742    -3.7179859    -0.9423476
   -4.590484     -4.011327     -1.0925229    -5.121051     -4.97747
   -2.5406642    -3.2277691    -1.0690923    -1.0092422    -3.8607965
   -3.2468092    -2.0808167    -0.75938255   -0.59897393   -3.089051  ]",Number_5
"[-3.7240302e+02  1.5313914e+02 -6.5129807e+01  6.8047686e+00
  3.8533478e+01 -2.9504663e+01 -8.4032860e+00  1.1465878e+01
 -1.2652162e+01  4.3806243e+00  1.2754097e+01 -4.6686745e+00
 -6.7906862e-01 -1.9968508e+00 -5.8682990e+00  3.3025854e+00
 -4.2624693e+00 -7.8643365e+00  5.8974485e+00  4.8914024e-01
 -8.3951597e+00 -7.6165098e-01 -3.0588505e-01 -3.6707389e+00
 -2.1047168e+00 -3.2255185e+00 -9.3553886e-02  2.1395583e+00
 -4.1481915e+00 -4.5673656e+00 -8.1738001e-01 -2.4295833e+00
 -2.3001611e+00 -7.5390601e-01 -1.5302234e+00 -1.5187600e+00
 -1.6562341e+00 -1.4189944e+00 -1.2971988e+00 -3.2580163e+00]",Number_5
"[-4.3618457e+02  1.5293031e+02 -5.7867077e+01  1.6120050e+01
  4.0000854e+01 -2.7495716e+01 -2.5101278e+00  1.1472753e+01
 -1.3782570e+01  6.4935241e+00  1.0853343e+01 -7.2037663e+00
 -2.7585936e-01 -3.2076468e+00 -4.6120892e+00  8.4804382e+00
 -2.4130602e+00 -8.8713989e+00  4.5096087e+00 -1.5741093e+00
 -8.8202534e+00 -1.8232431e+00 -3.0911090e+00 -1.8295656e+00
  2.3364992e+00 -3.7012708e+00 -2.9064882e+00  2.1149178e+00
 -1.7152069e+00 -1.5826330e+00  1.7575380e+00  5.0658584e-01
  4.6380094e-01  2.3297295e-01 -7.7489483e-01 -7.3968321e-01
 -1.9500721e+00 -2.4523608e-01  8.4402561e-01 -3.1656842e+00]",Number_5
"[-4.5587177e+02  1.2921712e+02 -4.0580296e+01  1.5057436e+01
  3.1744972e+01 -2.5280907e+01 -4.1046896e+00  9.6992216e+00
 -1.6818247e+01 -3.1224010e+00  1.0072303e+01 -3.2289037e-01
  1.8884832e+00 -1.5087815e-01 -2.5082004e+00  5.2716241e+00
 -1.7005377e+00 -6.0891171e+00  3.5653441e+00 -1.0351304e+00
 -7.8936648e+00 -2.4195778e+00 -1.4845825e+00 -1.6065905e+00
 -2.2089811e-01 -3.7693489e+00 -1.8275002e+00  1.7128135e+00
 -2.1967015e+00 -2.3903463e+00  2.2314875e-01 -1.5881048e+00
 -1.4752400e+00 -2.4182610e-01 -1.7835890e+00 -3.0301793e+00
 -3.0414355e+00 -1.3748136e+00 -5.1020938e-01 -1.9611781e+00]",Number_5
"[-3.3616299e+02  1.8902551e+02 -6.3604488e+01  9.5232449e+00
  3.6338768e+01 -3.7959156e+01 -1.0300524e+01  5.6740780e+00
 -2.2813328e+01 -3.2541129e-01  7.3613744e+00 -7.8016796e+00
  2.3465004e+00 -4.5961652e+00 -1.1025577e+01  4.2515788e+00
 -4.7346287e+00 -1.0817482e+01  3.8408871e+00 -4.4968200e+00
 -1.2770385e+01 -1.5194581e+00 -2.1832864e+00 -5.1622334e+00
 -2.6208527e+00 -6.5839019e+00 -2.8763442e+00  1.5612930e+00
 -6.1599898e+00 -6.3380461e+00 -1.7780712e+00 -5.2953448e+00
 -4.6191516e+00 -1.0703344e+00 -3.2367017e+00 -4.8960204e+00
 -3.9721017e+00 -1.9720814e+00 -1.2711518e+00 -3.3227787e+00]",Number_5
"[-3.6313138e+02  1.4270633e+02 -5.2374226e+01  2.9195350e-01
  2.9956890e+01 -2.6382845e+01 -8.9312038e+00  1.0200599e+01
 -1.5386667e+01 -3.4946518e+00  1.3292808e+01  7.4658167e-01
 -2.8796976e+00 -6.7281690e+00 -1.1511376e+01 -3.8773410e-02
  6.7797029e-01 -8.3107119e+00 -3.1060991e+00 -1.2338917e+00
 -7.8571973e+00 -5.2696848e+00 -2.6064274e-01 -2.1251388e+00
 -5.1764979e+00 -4.6827435e+00 -9.4747156e-01  1.6196181e-01
 -3.2016661e+00 -5.3050847e+00 -4.9731474e+00 -4.1291804e+00
 -3.8719194e+00 -4.1301122e+00 -2.6896365e+00 -2.4232364e+00
 -4.1758256e+00 -2.3139520e+00 -1.3316743e+00 -4.7667761e+00]",Number_5
"[-409.83167     167.80547     -61.395042     12.015235     44.13766
  -28.258839     -9.248424     10.216534    -13.815947      2.2913458
    9.517975     -4.5201616     1.221679     -4.414399     -6.82105
    9.357447      0.6479334    -8.886942      3.6815498    -0.4867728
   -9.101548     -2.3005092    -1.6320424    -2.2217748    -0.67360044
   -5.1525054    -1.4143885     3.3683507    -3.7248812    -5.413801
   -1.6012416    -2.306395     -1.2407264    -1.1179404    -2.6371315
   -1.1147954    -2.5024164    -3.1675832    -0.43876094   -3.245932  ]",Number_5
"[-3.8767325e+02  1.7208224e+02 -5.2968376e+01  1.0745689e+01
  3.8261253e+01 -3.2714153e+01 -1.4332912e+01  7.6722283e+00
 -1.3096776e+01  2.0322180e+00  8.2835646e+00 -6.5269814e+00
 -8.7384313e-01 -3.4905946e+00 -5.9633937e+00  5.6542225e+00
 -3.9552078e+00 -1.0645829e+01  3.1659639e+00 -1.2993239e+00
 -1.0010901e+01 -2.7218189e+00 -1.5150187e+00 -1.9974029e+00
 -3.7580445e-01 -5.4167638e+00 -2.5879869e+00  2.6341679e+00
 -3.6539965e+00 -4.9866252e+00 -6.1891854e-01 -2.3376009e+00
 -3.3502047e+00 -2.8821211e+00 -3.0755448e+00 -1.9769773e+00
 -3.7713110e+00 -3.6712399e+00 -1.2664996e-01 -2.5574071e+00]",Number_5
"[-3.85563843e+02  1.58419037e+02 -4.83059540e+01  6.35234928e+00
  3.44538536e+01 -2.38549595e+01 -6.72654533e+00  9.54633141e+00
 -1.19379730e+01  1.87474513e+00  1.08128605e+01 -1.03960752e+00
  1.50553003e-01 -4.47508192e+00 -4.22236347e+00  6.11396122e+00
 -4.92504883e+00 -9.59832573e+00  4.75575829e+00 -3.49552482e-01
 -9.05465603e+00 -2.18166018e+00 -1.40195584e+00 -1.73079658e+00
  1.27322912e+00 -2.25384045e+00 -3.93985599e-01  3.57869244e+00
 -2.32199073e+00 -3.89072537e+00  3.89469892e-01 -5.43418884e-01
 -1.44014752e+00 -5.84108889e-01 -8.22915077e-01 -3.18466842e-01
 -5.43256104e-01 -5.26259422e-01 -2.01444373e-01 -1.71382165e+00]",Number_5
"[-3.5041064e+02  1.7560440e+02 -5.3182861e+01  1.4041814e+01
  4.1200985e+01 -3.0599461e+01 -1.0012588e+01  8.9008656e+00
 -1.6211212e+01  1.0189340e+00  1.0330761e+01 -3.7091908e+00
  3.1079371e+00  1.8163657e-01 -5.8654580e+00  3.8011448e+00
 -2.2016902e+00 -5.9173741e+00  4.4629936e+00 -3.1052275e+00
 -9.3855572e+00  3.1366104e-01  3.8698184e-01 -2.8347883e+00
 -2.6033018e+00 -5.7098026e+00 -1.4969018e+00  1.4328210e+00
 -5.7480259e+00 -4.6725459e+00  4.9234456e-01 -2.6429265e+00
 -3.5562091e+00 -1.5505574e+00 -2.3345282e+00 -2.9184306e+00
 -3.3003371e+00 -2.0246897e+00 -9.2001665e-01 -3.3456061e+00]",Number_5
